Year,Total Reports,30-DAY,5-DAY,Expedited,Non-Expedited,Direct,BSR
1968,107,,,,98,9,
1969,5433,,,1.0,2745,2687,
1970,17947,,,5.0,9979,7963,
1971,13156,,,1.0,8238,4917,
1972,9637,,,,7603,2034,
1973,11377,,,4.0,7305,4068,
1974,9253,,,1.0,7004,2248,
1975,10615,,,,8472,2143,
1976,10821,,,,6950,3870,1.0
1977,13741,,,2.0,9919,3820,
1978,9435,,,17.0,7107,2311,
1979,8243,,,91.0,6190,1962,
1980,12912,,,119.0,9891,2902,
1981,14500,,,4721.0,7121,2658,
1982,23705,,,6971.0,12868,3866,
1983,32021,,,8114.0,20209,3698,
1984,32623,,,6756.0,24247,1620,
1985,38799,,,9796.0,26522,2481,
1986,55928,,,15848.0,36006,4073,1.0
1987,54759,,,12972.0,37260,4527,
1988,51138,,,8277.0,37078,5783,
1989,60682,,,9461.0,43096,8125,
1990,75201,,,11405.0,53427,10367,2.0
1991,75290,,,12826.0,52027,10434,3.0
1992,105954,,,15943.0,77071,12940,
1993,124198,,,19111.0,90334,14752,1.0
1994,129122,,,22205.0,89936,16977,4.0
1995,141667,,,21833.0,103344,16481,9.0
1996,172204,,,26312.0,130303,15569,20.0
1997,198234,,,37707.0,144258,16205,64.0
1998,159890,,,70818.0,73682,15247,143.0
1999,224363,,,80970.0,127049,16175,169.0
2000,199799,,,94160.0,89169,16120,350.0
2001,203208,,,113680.0,70176,19299,53.0
2002,184879,,,127770.0,36642,20447,20.0
2003,225234,,,143656.0,58613,22952,13.0
2004,272830,,,161334.0,89834,21657,5.0
2005,321879,,,212087.0,84481,25306,5.0
2006,335670,,,219143.0,95548,20979,
2007,363323,,,229895.0,110397,23031,
2008,439657,,,274078.0,132683,32896,
2009,490406,,,330081.0,126159,34166,
2010,672637,,,409061.0,234632,28944,
2011,781619,,,498413.0,255164,28042,
2012,930169,,,574933.0,326224,29012,
2013,1068581,,,631148.0,409043,28390,
2014,1198408,,,741460.0,422718,34230,
2015,1719746,,,833071.0,845016,41659,
2016,1683267,,,863174.0,769102,50991,
2017,1804684,,,941493.0,801161,62030,
2018,2139556,,,1154766.0,897239,87551,
2019,2174715,6.0,4.0,1214625.0,854692,105388,
2020,2210470,8744.0,12.0,1241465.0,881689,78560,
2021,2343154,14830.0,1723.0,1386369.0,867682,72550,
2022,2358478,24221.0,420.0,1305730.0,950028,78079,
2023,2209987,59641.0,1249.0,1243726.0,836739,68632,
2024,2106482,75880.0,1874.0,1159219.0,811384,58125,
2025,2076511,67023.0,1091.0,1146134.0,806954,55309,
2026,1135431,26229.0,711.0,590976.0,487347,30168,
